Date,EA_rv,F_rv,FLG_rv,GE_rv,GOOGL_rv,GS_rv,HD_rv,HLT_rv,HON_rv,HWKN_rv
2014-01-31,0.47,0.22,0.16,0.19,0.26,0.18,0.12,0.16,0.15,0.13
2014-02-28,0.2,0.16,0.2,0.17,0.18,0.17,0.19,0.21,0.16,0.14
2014-03-31,0.22,0.15,0.11,0.15,0.19,0.18,0.11,0.2,0.15,0.24
2014-04-30,0.21,0.25,0.15,0.12,0.34,0.21,0.17,0.2,0.15,0.22
2014-05-31,0.69,0.15,0.14,0.11,0.2,0.15,0.14,0.22,0.14,0.28
2014-06-30,0.17,0.15,0.1,0.11,0.17,0.12,0.11,0.17,0.09,0.18
2014-07-31,0.36,0.15,0.17,0.16,0.22,0.16,0.11,0.24,0.15,0.22
2014-08-31,0.24,0.13,0.1,0.13,0.14,0.13,0.24,0.15,0.11,0.16
2014-09-30,0.21,0.32,0.11,0.1,0.16,0.14,0.19,0.17,0.12,0.17
2014-10-31,0.38,0.28,0.16,0.21,0.25,0.26,0.22,0.33,0.3,0.29
2014-11-30,0.15,0.2,0.07,0.11,0.1,0.06,0.15,0.16,0.09,0.28
2014-12-31,0.26,0.26,0.17,0.19,0.24,0.21,0.18,0.22,0.19,0.3
2015-01-31,0.48,0.25,0.22,0.17,0.28,0.26,0.28,0.24,0.2,0.22
2015-02-28,0.19,0.19,0.14,0.13,0.17,0.18,0.2,0.21,0.13,0.26
2015-03-31,0.29,0.2,0.17,0.17,0.2,0.22,0.21,0.22,0.21,0.2
2015-04-30,0.21,0.13,0.1,0.4,0.2,0.14,0.15,0.24,0.14,0.24
2015-05-31,0.21,0.14,0.13,0.12,0.16,0.12,0.18,0.19,0.14,0.16
2015-06-30,0.2,0.17,0.13,0.11,0.15,0.17,0.13,0.17,0.11,0.25
2015-07-31,0.23,0.23,0.14,0.16,0.58,0.15,0.14,0.29,0.17,0.3
2015-08-31,0.37,0.3,0.26,0.28,0.41,0.3,0.27,0.25,0.28,0.28
2015-09-30,0.32,0.28,0.25,0.31,0.26,0.29,0.25,0.37,0.26,0.17
2015-10-31,0.32,0.26,0.48,0.27,0.28,0.23,0.12,0.28,0.21,0.25
2015-11-30,0.35,0.14,0.16,0.15,0.17,0.19,0.23,0.2,0.14,0.19
2015-12-31,0.36,0.26,0.26,0.14,0.21,0.31,0.18,0.31,0.27,0.37
2016-01-31,0.41,0.32,0.25,0.27,0.3,0.36,0.3,0.51,0.27,0.41
2016-02-29,0.44,0.34,0.22,0.24,0.26,0.37,0.29,0.33,0.18,0.36
2016-03-31,0.2,0.26,0.2,0.16,0.19,0.23,0.12,0.26,0.19,0.32
2016-04-30,0.23,0.28,0.22,0.1,0.25,0.25,0.13,0.21,0.12,0.26
2016-05-31,0.49,0.14,0.19,0.15,0.15,0.25,0.17,0.24,0.12,0.23
2016-06-30,0.23,0.32,0.24,0.25,0.21,0.34,0.16,0.39,0.19,0.35
2016-07-31,0.17,0.35,0.16,0.11,0.17,0.21,0.14,0.2,0.15,0.15
2016-08-31,0.2,0.2,0.12,0.04,0.08,0.15,0.1,0.14,0.05,0.16
2016-09-30,0.21,0.2,0.22,0.17,0.15,0.21,0.18,0.17,0.15,0.23
2016-10-31,0.21,0.15,0.18,0.1,0.13,0.17,0.18,0.14,0.29,0.2
2016-11-30,0.27,0.21,0.28,0.17,0.24,0.33,0.22,0.18,0.13,0.33
2016-12-31,0.24,0.26,0.26,0.13,0.14,0.23,0.14,0.24,0.14,0.25
2017-01-31,0.14,0.3,0.27,0.14,0.16,0.2,0.11,0.17,0.08,0.24
2017-02-28,0.18,0.14,0.14,0.08,0.06,0.19,0.11,0.12,0.09,0.21
2017-03-31,0.13,0.21,0.19,0.13,0.12,0.2,0.09,0.16,0.11,0.24
2017-04-30,0.11,0.15,0.18,0.11,0.17,0.23,0.11,0.18,0.14,0.3
2017-05-31,0.49,0.21,0.12,0.16,0.14,0.26,0.11,0.23,0.07,0.24
2017-06-30,0.23,0.14,0.21,0.2,0.22,0.18,0.16,0.18,0.09,0.24
2017-07-31,0.2,0.2,0.2,0.21,0.17,0.16,0.19,0.11,0.09,0.22
2017-08-31,0.2,0.14,0.17,0.12,0.15,0.18,0.17,0.21,0.12,0.24
2017-09-30,0.21,0.14,0.18,0.22,0.13,0.2,0.13,0.13,0.11,0.27
2017-10-31,0.17,0.18,0.16,0.34,0.19,0.21,0.08,0.11,0.07,0.33
2017-11-30,0.27,0.14,0.28,0.37,0.15,0.15,0.16,0.12,0.12,0.38
2017-12-31,0.27,0.11,0.16,0.13,0.12,0.17,0.13,0.13,0.1,0.24
2018-01-31,0.37,0.33,0.17,0.37,0.15,0.19,0.15,0.17,0.15,0.28
2018-02-28,0.31,0.3,0.24,0.34,0.38,0.35,0.36,0.33,0.25,0.28
2018-03-31,0.31,0.24,0.27,0.35,0.34,0.3,0.21,0.2,0.23,0.38
2018-04-30,0.23,0.24,0.31,0.34,0.27,0.22,0.26,0.28,0.19,0.37
2018-05-31,0.26,0.15,0.16,0.34,0.22,0.18,0.16,0.17,0.13,0.4
2018-06-30,0.22,0.15,0.14,0.34,0.2,0.14,0.13,0.18,0.12,0.42
2018-07-31,0.36,0.25,0.33,0.26,0.25,0.16,0.09,0.16,0.22,0.25
2018-08-31,0.42,0.24,0.15,0.22,0.16,0.18,0.11,0.12,0.13,0.54
2018-09-30,0.16,0.18,0.2,0.29,0.16,0.16,0.16,0.16,0.1,0.21
2018-10-31,0.43,0.45,0.31,0.56,0.42,0.32,0.29,0.43,0.25,0.39
2018-11-30,0.35,0.25,0.26,0.59,0.29,0.38,0.28,0.26,0.14,0.51
2018-12-31,0.29,0.35,0.33,0.57,0.35,0.34,0.31,0.31,0.29,0.37
2019-01-31,0.42,0.41,0.25,0.6,0.31,0.39,0.21,0.3,0.18,0.28
2019-02-28,0.82,0.26,0.17,0.42,0.17,0.16,0.17,0.28,0.13,0.49
2019-03-31,0.37,0.23,0.22,0.45,0.19,0.2,0.12,0.13,0.13,0.3
2019-04-30,0.29,0.4,0.21,0.35,0.3,0.25,0.16,0.13,0.18,0.28
2019-05-31,0.35,0.21,0.26,0.29,0.24,0.22,0.18,0.31,0.16,0.47
2019-06-30,0.27,0.2,0.27,0.28,0.27,0.22,0.17,0.2,0.12,0.36
2019-07-31,0.33,0.31,0.21,0.28,0.35,0.19,0.14,0.19,0.2,0.32
2019-08-31,0.36,0.25,0.22,0.63,0.27,0.33,0.29,0.24,0.28,0.35
2019-09-30,0.18,0.15,0.24,0.3,0.17,0.21,0.15,0.19,0.15,0.33
2019-10-31,0.23,0.34,0.52,0.49,0.19,0.2,0.14,0.27,0.22,0.28
2019-11-30,0.18,0.21,0.15,0.29,0.13,0.14,0.24,0.18,0.15,0.26
2019-12-31,0.14,0.16,0.13,0.22,0.12,0.21,0.14,0.1,0.13,0.2
2020-01-31,0.18,0.14,0.24,0.5,0.19,0.21,0.15,0.25,0.19,0.25
2020-02-29,0.22,0.45,0.2,0.39,0.33,0.27,0.25,0.32,0.27,0.34
2020-03-31,0.86,1.2,0.83,1.3,0.86,1.3,1.29,1.01,1.12,1.19
2020-04-30,0.37,0.69,0.68,0.76,0.54,0.56,0.48,0.82,0.46,0.71
2020-05-31,0.28,0.55,0.6,0.73,0.2,0.53,0.25,0.48,0.49,0.59
2020-06-30,0.25,0.71,0.53,0.68,0.31,0.57,0.31,0.43,0.44,0.54
2020-07-31,0.27,0.41,0.53,0.43,0.26,0.34,0.15,0.41,0.27,0.33
2020-08-31,0.25,0.29,0.3,0.35,0.19,0.19,0.18,0.32,0.22,0.44
2020-09-30,0.33,0.31,0.33,0.58,0.36,0.32,0.27,0.38,0.28,0.35
2020-10-31,0.28,0.37,0.39,0.46,0.37,0.25,0.2,0.4,0.28,0.37
2020-11-30,0.37,0.44,0.63,0.45,0.26,0.35,0.26,0.5,0.4,0.5
2020-12-31,0.19,0.25,0.2,0.29,0.17,0.31,0.14,0.24,0.16,0.32
2021-01-31,0.26,0.51,0.24,0.36,0.33,0.31,0.23,0.38,0.21,0.47
2021-02-28,0.31,0.33,0.36,0.35,0.32,0.27,0.21,0.34,0.18,0.37
2021-03-31,0.29,0.45,0.28,0.53,0.3,0.26,0.23,0.26,0.21,0.6
2021-04-30,0.19,0.47,0.28,0.2,0.26,0.22,0.16,0.22,0.17,0.25
2021-05-31,0.19,0.5,0.24,0.33,0.22,0.22,0.24,0.27,0.22,0.34
2021-06-30,0.2,0.34,0.27,0.24,0.13,0.26,0.13,0.23,0.16,0.24
2021-07-31,0.16,0.35,0.42,0.36,0.23,0.26,0.16,0.32,0.26,0.5
2021-08-31,0.17,0.33,0.21,0.25,0.13,0.22,0.21,0.24,0.11,0.31
2021-09-30,0.33,0.33,0.22,0.32,0.2,0.24,0.17,0.25,0.16,0.23
2021-10-31,0.3,0.44,0.34,0.23,0.28,0.23,0.17,0.25,0.17,0.32
2021-11-30,0.31,0.41,0.21,0.31,0.24,0.24,0.26,0.33,0.17,0.31
2021-12-31,0.22,0.47,0.23,0.29,0.2,0.27,0.22,0.41,0.2,0.29
2022-01-31,0.28,0.62,0.24,0.34,0.29,0.36,0.3,0.33,0.18,0.27
2022-02-28,0.25,0.51,0.21,0.36,0.4,0.25,0.38,0.31,0.36,0.48
2022-03-31,0.25,0.55,0.31,0.36,0.34,0.29,0.3,0.45,0.23,0.39
2022-04-30,0.28,0.35,0.3,0.45,0.4,0.3,0.31,0.41,0.22,0.29
2022-05-31,0.39,0.57,0.29,0.37,0.41,0.29,0.38,0.51,0.28,0.45
2022-06-30,0.25,0.52,0.32,0.41,0.41,0.37,0.3,0.47,0.26,0.23
2022-07-31,0.17,0.48,0.39,0.32,0.46,0.32,0.17,0.36,0.23,0.29
2022-08-31,0.27,0.41,0.23,0.31,0.3,0.21,0.28,0.26,0.2,0.35
2022-09-30,0.25,0.59,0.32,0.31,0.32,0.3,0.35,0.41,0.26,0.31
2022-10-31,0.22,0.45,0.42,0.4,0.46,0.35,0.29,0.29,0.33,0.34
2022-11-30,0.26,0.33,0.45,0.26,0.48,0.22,0.39,0.29,0.19,0.37
2022-12-31,0.18,0.44,0.29,0.29,0.29,0.21,0.21,0.21,0.17,0.22
2023-01-31,0.14,0.38,0.27,0.35,0.33,0.31,0.23,0.24,0.25,0.19
2023-02-28,0.37,0.4,0.24,0.19,0.48,0.19,0.33,0.21,0.18,0.34
2023-03-31,0.2,0.4,1.21,0.32,0.33,0.35,0.21,0.29,0.2,0.37
2023-04-30,0.19,0.29,0.62,0.18,0.26,0.14,0.2,0.21,0.19,0.2
2023-05-31,0.1,0.41,0.54,0.22,0.29,0.21,0.24,0.24,0.16,0.41
2023-06-30,0.18,0.3,0.28,0.21,0.24,0.24,0.2,0.23,0.17,0.33
2023-07-31,0.22,0.29,0.31,0.26,0.32,0.23,0.17,0.18,0.24,0.23
2023-08-31,0.3,0.25,0.26,0.2,0.23,0.18,0.13,0.17,0.11,0.44
2023-09-30,0.13,0.21,0.21,0.18,0.2,0.18,0.16,0.26,0.16,0.4
2023-10-31,0.2,0.5,0.4,0.34,0.41,0.26,0.19,0.23,0.2,0.21
2023-11-30,0.16,0.37,0.32,0.2,0.18,0.24,0.25,0.18,0.13,0.49
2023-12-31,0.13,0.34,0.48,0.18,0.24,0.27,0.18,0.19,0.15,0.4
2024-01-31,0.09,0.27,1.65,0.17,0.33,0.15,0.19,0.14,0.16,0.23
2024-02-29,0.2,0.37,1.32,0.19,0.24,0.19,0.16,0.16,0.16,0.43
2024-03-31,0.14,0.32,1.67,0.28,0.25,0.21,0.19,0.13,0.15,0.29
2024-04-30,0.13,0.38,0.63,0.47,0.43,0.24,0.23,0.23,0.15,0.28
2024-05-31,0.26,0.25,1.01,0.25,0.17,0.17,0.22,0.19,0.16,0.4
2024-06-30,0.13,0.22,0.49,0.25,0.17,0.19,0.21,0.17,0.12,0.26
2024-07-31,0.24,0.76,0.71,0.39,0.29,0.24,0.24,0.24,0.24,0.41
2024-08-31,0.16,0.36,0.65,0.25,0.25,0.3,0.23,0.22,0.13,0.64
2024-09-30,0.2,0.26,0.6,0.34,0.25,0.29,0.16,0.2,0.15,0.31
2024-10-31,0.16,0.39,0.51,0.38,0.2,0.21,0.16,0.13,0.24,0.46
2024-11-30,0.19,0.31,0.58,0.24,0.29,0.48,0.24,0.19,0.23,0.43
2024-12-31,0.2,0.23,0.4,0.31,0.36,0.22,0.2,0.22,0.22,0.4
